,controlTimes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
V72,7,11.17881498,7.900979375,8.379788551,10.28157132,11.30065924,8.668995904,8.77577274,11.23510038,13.76795174,14.51896314,10.3194852,8.42371561,11.56382707,10.69466191,8.136352931,11.26655598,10.37670677,12.12931791,8.789883272,8.38018632
V73,8,11.36196894,8.017726156,8.965109666,10.83815131,10.46802018,8.884078897,9.257743362,9.93063723,14.16124962,13.70725642,9.656544849,8.498996396,11.90168789,12.1528386,8.44995653,10.66338321,9.449123973,11.74065907,8.779028104,8.367955442
V74,10,10.41112149,7.905147911,7.898713454,10.77453656,11.18881354,9.885674177,9.943175843,10.5954098,13.69066032,14.77708458,9.794391185,8.41836907,9.912414594,11.76489776,7.829063105,11.54659452,10.15637048,12.4157678,8.450988616,8.323657237
V75,11,10.54858901,7.513182402,8.040705465,10.92838238,11.42772382,10.85359434,9.982438791,11.30658887,13.40095746,14.84592847,9.856066511,8.388751976,10.25446755,11.73385233,8.07159699,11.52239755,10.25432855,11.93906006,8.722862578,8.117295516
V76,12,10.33106626,7.749123624,8.316924069,10.7758179,11.3487259,11.21650312,9.753254074,11.16052575,13.51513044,14.83976141,9.860719017,8.658512542,10.40270179,11.23117516,8.284655998,11.43304351,10.27352652,12.49778474,8.635065177,8.354835927
V77,14,10.69413269,7.758353285,8.261019293,10.66106925,11.29439178,13.3178394,9.437382738,11.47534487,14.35819885,14.80202463,10.05086145,8.10096809,11.19999468,11.14811401,8.047421069,11.30601897,10.11231221,11.76558061,8.878714555,8.221484859
V78,16,10.27012429,8.122482205,8.228814205,10.04571143,11.54223212,14.29193953,9.288517292,11.68701762,13.94971512,14.7549122,9.76521145,8.292887782,10.50956342,11.27187661,8.178017042,11.21489131,10.29378867,12.10621129,8.76270527,8.20219913
V79,17.5,10.44881724,8.05626499,8.154960546,9.844915539,11.48933335,14.85832675,9.57287276,11.26558581,14.53198268,14.46764923,9.831122382,8.293492761,10.39752374,11.07679295,8.302371813,11.20962527,10.1617448,12.1885054,8.676998523,8.378396765
V80,0,9.422452775,7.802344989,8.038125604,10.02670766,11.34643239,10.46467538,9.846944492,12.92123345,14.73411183,14.47839825,10.14794303,8.709545879,12.00063645,11.32985268,8.29026797,11.84627731,11.71490633,12.25813839,9.599552385,8.388370579
V81,2,10.39892953,7.997890465,8.564442187,10.38416431,10.43050576,9.761535514,8.012918736,12.45160094,14.1913624,14.17707526,10.11581321,8.671404513,12.93640171,11.68218633,8.209696791,11.07227696,10.64343093,11.29328987,9.026817981,8.370248861
V82,3,11.55924714,7.953929315,8.340330709,9.864570849,10.43769001,10.08321478,8.955441723,10.59518079,13.7544403,13.05631232,9.983424934,8.117069267,13.08795784,10.71244565,8.267759485,10.58976413,10.26599442,11.30723937,8.670742025,8.088868899
V83,4,11.26237745,7.975620596,8.747076593,10.64297772,11.11389293,8.593827645,8.717419013,11.64443575,13.94079105,13.85444928,9.992177279,7.977772329,13.30750866,12.10221083,8.410849658,11.48064347,10.27174264,11.62496108,8.804675138,8.258674492
V84,6,11.43204261,7.902066154,8.640771601,10.89557393,10.77457235,8.575146418,8.79431889,10.81598785,14.14661441,14.30864323,9.719617752,8.354659443,12.24358279,10.85093471,8.145936417,10.89497372,10.03904878,12.28023149,8.661620873,8.183245975
V85,7,11.34694281,7.700345659,8.400784676,10.32742033,11.22509908,8.720649675,8.782002376,11.35582822,14.16475231,14.33890789,10.10214259,8.18392714,12.56109937,11.41920385,8.029280678,11.23092643,10.43607509,12.08223708,8.747360387,8.18559424
V86,8,11.17262674,8.030044404,8.628722918,10.43171134,10.92851936,8.611257795,8.998501073,10.49936325,13.48293787,14.8120489,9.90427029,8.311857214,11.7117208,11.4316173,7.95056898,11.21788228,9.832811358,12.25315538,8.455754491,8.25445698
V87,10,10.85055502,7.950414265,8.192681931,10.6298027,11.37134532,9.804921432,10.10383053,10.73957212,13.23044536,15.271235,9.723526016,8.547920256,10.46380964,10.81888808,8.220386176,11.24605613,10.33806031,12.20374311,8.807595191,8.291567048
V88,11,10.38997564,7.613756863,8.131418213,10.28927729,11.59538182,11.03110052,9.461272198,11.4604481,14.36746955,15.12259371,9.98993513,8.162714322,10.8236108,12.05312079,8.04520388,11.39400397,10.32042028,12.21745251,8.530067584,8.317114427
V89,12,10.68124242,7.686351074,8.450954264,11.02234752,11.55347173,11.42179416,9.831022096,11.00504572,13.10540397,14.66424902,9.675527017,8.26774517,9.769853959,11.82878804,8.141688027,11.58182779,10.30019861,12.26995412,8.606574622,8.326573048
V90,14,10.43055711,7.891069765,8.105091086,10.79356219,11.2667521,13.72259107,9.715874273,11.46123263,13.97715477,14.40374181,9.657183529,8.463104132,10.97481383,11.10141849,8.221623808,11.28388384,10.02981028,11.81864766,8.478583416,8.089584578
V91,16,10.50785835,7.956145008,8.354164914,10.21477409,11.1317607,13.27466697,9.692865157,10.95288315,14.02047602,15.06084928,9.740533277,8.319569059,10.34889006,11.54754323,8.329116396,11.29248092,10.01586856,11.88552205,8.73393222,8.293621939
V92,17.5,10.26516452,7.730568353,8.189190354,10.21300578,11.85811022,14.64215046,9.860469006,11.40169206,13.92791927,14.5608674,9.626176077,8.003689002,10.11413836,11.51214066,8.055923986,11.36870371,10.63824876,12.31322617,8.740803506,8.249626761
